iter	Passed	Remaining
0	1	134
1	2	121
2	3	115
3	4	108
4	5	111
5	6	109
6	8	108
7	9	106
8	10	103
9	11	101
10	12	99
11	13	99
12	14	97
13	15	96
14	16	94
15	17	92
16	18	91
17	20	91
18	21	90
19	22	89
20	23	88
21	24	86
22	25	85
23	26	84
24	27	82
25	28	81
26	29	80
27	30	78
28	31	77
29	32	76
30	34	77
31	36	77
32	37	76
33	38	75
34	39	74
35	40	72
36	41	71
37	42	70
38	44	69
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	50	61
45	52	61
46	53	60
47	54	59
48	55	58
49	56	56
50	57	55
51	58	54
52	59	53
53	61	52
54	61	50
55	63	49
56	64	48
57	65	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	36
68	78	35
69	79	34
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	18
84	96	16
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	111	1
99	112	0
